TLID,FNODE,TNODE,LENGTH
62057586,14339,14309,124.84599
62057587,14210,14211,177.616
62057588,14307,14308,166.51501
62057589,14467,14440,65.43339
62057590,14425,14467,185.77397
62057591,14472,14425,90.0765
62057592,14210,14179,48.67468
62057593,14262,14210,72.77513
62057594,14307,14262,43.31605
62057595,14268,14262,89.11905
62057596,14377,14307,82.3105
62057597,14138,14306,193.48297
62057599,14357,14377,124.73759
62057600,14306,14357,44.71682
62057602,12458,12546,318.46153
62057603,12628,12477,354.43054
62057604,12628,12603,278.06508
62057605,12603,12477,117.85677
62057606,12603,12576,300.85141
62057607,12627,12576,62.03614
62057608,12838,12697,262.08318
62057609,12914,12838,146.71852
62057610,12914,12941,280.97059
62057611,12979,12914,170.78099
62057613,13107,13067,64.58635
62057619,12770,12639,121.31099
62057620,12633,12639,166.73974
62057621,12843,12770,70.20384
62057622,12744,12770,190.49837
62057628,13118,12979,175.59878
62057629,13118,13054,160.04458
62057630,13140,13267,287.04703
62057631,13390,13267,149.3211
62057632,13067,13140,255.25488
62057633,13233,13140,200.10862
62057634,13266,13107,293.8761
62057635,13274,13233,68.36815
62057636,13107,13274,243.23374
62057637,13291,13274,68.82313
62057639,13361,13306,82.21116
62057640,13267,13361,177.86209
62057641,13655,13361,423.5073
62057642,13233,13390,360.16362
62057643,13473,13390,102.89388
62057644,13566,13494,126.73428
62057645,13266,13291,190.4983
62057646,13456,13291,213.14302
62057647,13274,13380,125.78829
62057648,13493,13433,171.6192
62057649,13456,13493,126.49782
62057650,13513,13493,388.92032
62057652,13177,13134,130.87463
62057653,13265,13266,66.60584
62057654,13134,13265,205.85291
62057655,13331,13265,112.65757
62057656,13177,13331,215.22022
62057657,13389,13331,160.09739
62057658,13331,13456,305.42257
62057659,13389,13177,316.98136
62057660,13422,13389,56.32934
62057661,13435,13422,90.48281
62057662,13479,13513,84.49366
62057663,13422,13479,98.57627
62057664,13492,13479,36.39379
62057666,13620,13492,170.8872
62057668,13472,13435,116.2948
62057669,12744,12633,106.32698
62057670,12737,12633,163.80152
62057671,12722,12686,34.66194
62057672,15718,15692,68.47711
62057673,12737,12744,111.34728
62057674,12881,12744,130.45243
62057675,12779,12737,70.41323
62057676,12800,12722,81.08811
62057678,12853,12779,72.79224
62057679,12800,12755,75.08522
62057680,12852,12800,53.16495
62057681,12755,12749,34.41182
62057682,12749,12711,62.04057
62057683,12749,12851,95.96608
62057684,12853,12881,179.50767
62057685,13000,12881,129.97934
62057686,13000,12959,108.89855
62057687,12958,12853,117.47105
62057688,12851,12852,99.90859
62057689,12921,12852,76.90865
62057690,13184,12958,295.66785
62057691,12999,13000,44.40384
62057692,12958,12999,172.05892
62057695,12921,12851,147.91493
62057696,13019,12921,104.57761
62057697,13045,13019,36.39651
62057698,13019,13018,166.51429
62057699,13045,13166,295.22093
62057700,13166,13045,182.31561
62057703,13161,13146,56.46354
62057704,13161,13185,60.21077
62057705,13185,13184,59.8004
62057706,13264,13245,42.24807
62057707,13264,13184,113.19748
62057708,13264,13263,111.00954
62057710,13421,13264,174.72695
62057711,13263,13305,62.04065
62057712,13263,13298,85.0872
62057714,13560,13472,158.15392
62057715,13478,13421,75.17427
62057717,13305,13411,138.40125
62057718,13298,13018,381.93837
62057719,13319,13298,28.2681
62057720,13298,13388,136.75002
62057722,13411,13319,106.33269
62057724,13539,13421,142.59253
62057727,13388,13411,61.29145
62057728,13464,13411,61.74567
62057729,13388,13464,81.09084
62057730,13491,13464,102.90908
62057734,13485,13491,28.16587
62057742,13702,13566,171.98676
62057743,13763,13566,223.59116
62057744,13702,13763,160.09392
62057745,13655,13702,132.71519
62057746,13601,13655,146.36798
62057747,13733,13655,89.43911
62057748,13493,13601,258.90506
62057749,13664,13601,88.79803
62057750,13749,13664,105.14249
62057751,13664,13733,183.86818
62057752,13808,13733,89.73275
62057753,14047,13884,313.605
62057754,13775,13749,61.2896
62057755,13513,13775,546.93339
62057756,13807,13775,85.08512
62057757,13885,13829,76.89519
62057758,13895,13885,347.10885
62057759,13749,13808,177.21578
62057760,13808,13847,67.84093
62057761,13847,13878,38.58808
62057763,13856,13807,160.09617
62057764,13807,13881,130.27018
62057768,13620,13472,246.65526
62057769,13691,13620,78.77095
62057770,13691,13674,90.48283
62057771,13774,13691,86.64985
62057772,13674,13731,61.66308
62057773,13674,13630,122.58135
62057774,13774,13805,48.06661
62057775,13731,13732,33.30289
62057777,13856,13691,474.12199
62057778,13918,13856,110.08807
62057779,13918,13855,173.88099
62057780,13989,13918,136.84365
62057781,13774,13806,95.33158
62057783,13894,13935,253.66683
62057784,14020,14057,136.3415
62057785,14124,14057,154.35435
62057786,13990,13895,256.57099
62057787,14104,13990,192.56055
62057788,13990,14020,76.04615
62057789,14080,14020,97.35432
62057790,14178,14125,70.40779
62057791,14209,14178,88.96547
62057792,14104,14119,99.71164
62057793,14202,14104,123.47333
62057794,14047,13856,380.93437
62057795,14109,14047,109.12212
62057796,14160,14104,331.07769
62057797,14160,14047,177.17454
62057798,14253,14160,172.11718
62057799,14409,14109,448.25579
62057800,14235,14178,89.72982
62057801,14209,14124,102.89256
62057802,14276,14209,168.32219
62057803,14240,14202,84.49068
62057804,14338,14240,163.79343
62057805,14276,14240,70.4087
62057806,14449,14471,119.78467
62057807,14385,14276,106.24925
62057808,14495,14385,233.89134
62057809,14202,14160,84.49094
62057810,14253,14208,82.21433
62057811,14330,14253,96.12904
62057812,13989,14109,368.25834
62057813,13989,13999,28.26522
62057815,13999,14075,151.53819
62057816,14272,14177,134.3217
62057817,14075,14019,110.0899
62057818,14177,14075,152.10079
62057819,14187,14177,37.54208
62057820,14232,14187,132.71767
62057822,14075,14238,187.82534
62057825,14487,14409,116.27852
62057826,14275,14272,8.16224
62057827,14275,14272,2.46668
62057828,14418,14275,136.42014
62057829,14232,14187,545.47938
62057830,14192,14232,70.41232
62057831,14305,14232,87.35907
62057832,14325,14305,144.57242
